Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2003,2003 World Rowing Championships,"Milan, ITA",06:46.150,NOR,06:47.470,GER,06:48.310,SLO,06:54.860,CZE,06:57.400,AUS,07:05.300,AUT
2003,2003 World Rowing Cup III,"Lucerne, SUI",06:48.460,GER1,06:49.950,SLO,06:51.460,CZE,06:51.910,NOR,06:55.280,AUS1,06:57.150,SUI1
2003,2003 World Rowing Cup II,"Munich, GER",07:04.240,GER,07:06.820,SLO,07:09.780,BUL1,07:11.010,SUI,07:12.060,AUT,07:13.790,ARG
2003,2003 World Rowing Cup I,"Milan, ITA",06:39.970,GER,06:41.380,SLO1,06:44.750,SLO2,06:46.030,GBR,06:46.190,NOR,06:54.260,CZE
2002,2002 World Rowing Championships,"Seville, ESP",06:36.330,GER,06:39.000,SLO,06:39.450,NOR,06:41.600,CZE,06:47.180,NED,06:55.670,AUT
2002,2002 World Rowing Cup III,"Munich, GER",06:46.660,GER,06:48.270,NOR,06:50.450,SLO,06:52.290,CZE,06:54.530,AUS1,06:56.940,NED
2002,2002 World Rowing Cup II,"Lucerne, SUI",06:51.780,GER1,06:53.420,NOR,06:55.320,SLO2,06:58.220,CZE,07:00.430,NED,07:05.380,SLO1
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",06:48.110,GER,06:51.530,NOR,06:51.610,CZE,06:55.500,FRA1,06:58.800,FRA3,07:02.130,ITA
2001,2001 World Rowing Championships,"Lucerne, SUI",06:43.040,NOR,06:43.360,SLO,06:43.620,CZE,06:49.530,AUS,06:49.930,SUI,07:05.830,BUL
2001,2001 World Rowing Cup III,"Vienna, AUT",08:28.570,GER,08:30.750,CZE,08:45.200,NOR,09:01.420,ARG,09:33.720,BUL1,09:36.380,SVK1
2001,2001 World Rowing Cup II,"Seville, ESP",07:10.920,SLO1,07:13.160,BUL,07:15.450,NOR,07:16.230,CZE,07:21.250,SLO2,07:29.100,GBR1
2001,2001 World Rowing Cup I,"New Jersey, USA",07:05.430,NOR2,07:08.080,SUI,07:12.240,GBR,07:12.480,CAN,07:16.170,EGY2,07:19.600,USA1
