Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2009,2009 World Rowing Cup II,"Munich, GER",06:36.240,NZL,06:39.060,ITA,06:39.860,DEN1,06:41.060,GBR1,06:44.140,GER1,06:47.920,POL1
2009,2009 World Rowing Cup I,"Banyoles, ESP",06:59.290,ITA1,07:01.570,CAN,07:02.230,FRA2,07:05.980,GBR,07:09.840,FRA1,07:12.060,ITA2
2009,2009 European Championships,"Brest, BLR",06:28.210,GRE,06:31.450,ITA,06:33.860,FRA,06:35.540,AUT,06:38.800,POR,06:43.360,POL
2008,2008 Olympic Games,"Beijing, CHN",06:10.990,GBR,06:11.720,GRE,06:12.450,DEN,06:16.150,ITA,06:16.690,CHN,06:19.960,CUB
2008,2008 World Rowing Cup III,"Poznan, POL",06:45.660,GBR,06:46.590,DEN,06:47.030,ITA1,06:48.910,ITA2,06:49.970,HUN1,06:51.680,GRE
2008,2008 World Rowing Cup II,"Lucerne, SUI",06:16.620,GBR,06:17.830,NZL,06:19.030,FRA1,06:19.690,CHN,06:22.660,HUN,06:22.790,FRA2
2008,2008 World Rowing Cup I,"Munich, GER",07:00.590,GBR,07:04.250,FRA2,07:08.350,ITA1,07:12.340,CHN,07:14.670,HUN1,07:20.520,FRA1
2008,2008 European Championships,"Athens, GRE",06:16.530,GRE,06:19.340,ITA,06:22.410,HUN,06:22.810,FRA,06:26.670,CZE,06:31.190,SLO
2007,2007 World Rowing Championships,"Munich, GER",06:24.210,DEN,06:25.890,GRE,06:26.920,GBR,06:28.750,AUS,06:29.950,ITA,06:30.000,JPN
2007,2007 World Rowing Cup III,"Lucerne, SUI",06:20.190,DEN,06:22.790,HUN,06:23.320,GBR,06:23.400,AUS,06:26.190,ITA,06:27.280,FRA
2007,2007 World Rowing Cup II,"Amsterdam, NED",06:20.800,DEN,06:24.190,GBR,06:26.530,POL1,06:29.990,FRA1,06:31.220,SVK,06:31.290,AUT
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",06:23.120,DEN,06:26.830,GBR,06:29.680,CAN,06:29.930,JPN,06:30.130,HUN1,06:38.030,GRE
2007,2007 European Championships,"Poznan, POL",06:36.990,HUN,06:39.260,GRE,06:45.750,CZE,06:49.700,FRA,06:54.030,GER,07:03.590,BLR
2006,2006 World Rowing Championships,"Eton, GBR",06:11.420,DEN,06:14.900,ITA,06:15.940,FRA,06:16.930,AUS,06:18.390,POL,06:22.680,GER
2006,2006 World Rowing Cup III,"Lucerne, SUI",06:23.910,ITA,06:24.670,DEN,06:28.370,GRE,06:31.690,HUN,06:32.260,GER1,06:33.050,GBR
2006,2006 World Rowing Cup II,"Poznan, POL",06:13.520,DEN,06:17.040,ITA,06:19.920,GBR,06:21.620,AUS,06:24.000,CUB,06:31.170,POR
2006,2006 World Rowing Cup I,"Munich, GER",06:20.600,ITA,06:25.040,GER1,06:26.760,JPN,06:28.690,AUS,06:32.690,RUS,06:40.340,CZE
2005,2005 World Rowing Championships,"Gifu, JPN",06:05.100,HUN,06:05.620,DEN,06:07.930,POL,06:08.030,ITA,06:14.740,FRA,06:16.570,GER
2005,2005 World Rowing Cup III,"Lucerne, SUI",06:16.980,HUN,06:17.360,DEN,06:18.850,CAN1,06:26.410,ITA,06:28.750,SVK,06:32.990,CZE
2005,2005 World Rowing Cup II,"Munich, GER",06:54.150,ITA2,06:56.230,GER,06:58.330,ITA1,07:00.140,SVK,07:00.450,FRA,07:05.430,GBR
2005,2005 World Rowing Cup I,"Eton, GBR",00:00.000,CAN,06:35.150,HUN,06:37.670,JPN,06:39.800,FRA,06:44.590,GBR1,06:51.090,RUS
2004,2004 Olympic Games,"Athens, GRE",06:20.930,POL,06:21.460,FRA,06:23.230,GRE,06:23.920,DEN,06:24.690,HUN,06:24.980,JPN
2004,2004 World Rowing Cup III,"Lucerne, SUI",06:29.690,ITA,06:29.730,FRA,06:30.030,HUN,06:32.380,USA,06:34.160,GER,06:37.730,GRE
2004,2004 World Rowing Cup II,"Munich, GER",06:51.110,ITA,06:52.720,GER,06:54.130,FRA,06:55.160,DEN,06:58.550,GRE,07:01.240,BEL
2004,2004 World Rowing Cup I,"Poznan, POL",06:18.570,DEN,06:19.740,FRA,06:19.860,GER,06:21.500,HUN1,06:22.280,CZE,06:27.370,BEL
2003,2003 World Rowing Championships,"Milan, ITA",06:30.600,ITA,06:33.120,POL,06:35.900,IRL,06:37.750,FRA,06:40.220,GER,06:42.900,HUN
