Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2008,2008 World Rowing Cup III,"Poznan, POL",07:43.750,BLR,07:46.210,CZE,07:54.740,NZL,07:58.830,RSA,08:00.570,POL1,08:06.770,POL2
2008,2008 World Rowing Cup II,"Lucerne, SUI",07:24.990,BLR,07:26.480,CZE,07:30.170,CHN,07:35.040,BUL,07:35.060,NZL,07:37.140,AUS
2008,2008 World Rowing Cup I,"Munich, GER",08:17.540,BLR,08:20.950,CZE,08:29.240,NZL,08:31.050,ITA,08:33.630,SRB,08:34.920,SWE
2008,2008 European Championships,"Athens, GRE",07:27.420,CZE,07:34.040,BEL,07:35.040,SUI,07:35.770,SRB,07:36.640,ESP,07:49.200,POL
2007,2007 World Rowing Championships,"Munich, GER",07:26.520,BLR,07:27.910,BUL,07:28.480,USA,07:28.670,CZE,07:33.370,CHN,07:37.260,NZL
2007,2007 World Rowing Cup III,"Lucerne, SUI",07:25.780,BLR1,07:28.420,CZE,07:28.720,CHN,07:36.520,FRA,07:38.400,BUL,07:38.670,POL
2007,2007 World Rowing Cup II,"Amsterdam, NED",07:19.110,BLR,07:23.650,CHN,07:27.410,SWE,07:28.570,BUL,07:34.520,FRA,07:39.060,POL
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",07:28.390,BLR1,07:31.000,CZE1,07:31.680,USA,07:37.580,FRA,07:38.780,CHN,07:53.440,POL
2007,2007 European Championships,"Poznan, POL",07:36.230,BUL,07:39.460,CZE,07:49.290,SWE,07:50.610,SRB,07:55.500,NED,07:55.950,RUS
2006,2006 World Rowing Championships,"Eton, GBR",07:11.020,BLR,07:15.020,CZE,07:18.350,SWE,07:20.570,FRA,07:23.670,USA,07:30.700,RUS
2006,2006 World Rowing Cup III,"Lucerne, SUI",07:25.190,BLR,07:27.750,CZE,07:32.890,RUS,07:35.850,SWE,07:37.830,USA,07:39.270,ITA
2006,2006 World Rowing Cup II,"Poznan, POL",07:14.350,BLR,07:15.730,CZE,07:20.790,FRA,07:24.960,SWE,07:28.950,GER1,07:39.240,POL
2006,2006 World Rowing Cup I,"Munich, GER",07:30.400,BLR,07:34.300,CZE,07:34.380,FRA,07:41.550,RUS2,07:46.010,USA,07:49.910,RUS1
2005,2005 World Rowing Championships,"Gifu, JPN",07:48.350,BLR,07:51.690,CZE,07:52.620,USA,08:02.120,FRA,08:03.170,SWE,08:06.360,RUS
2005,2005 World Rowing Cup III,"Lucerne, SUI",07:23.100,BLR,07:35.240,FRA,07:38.820,SWE,07:42.320,GER1,07:50.150,CAN,08:00.350,LAT
2005,2005 World Rowing Cup II,"Munich, GER",07:58.820,BLR,08:03.060,CZE1,08:05.540,NZL2,08:10.910,NZL1,08:13.550,FRA1,08:28.190,GBR
2005,2005 World Rowing Cup I,"Eton, GBR",07:46.310,BLR,07:49.600,CZE,07:56.890,GER,08:00.010,RUS,08:03.230,FRA,08:32.650,GBR
2004,2004 Olympic Games,"Athens, GRE",07:18.120,GER,07:22.040,BLR,07:23.100,BUL,07:25.140,CZE,07:31.660,NZL,07:49.110,ESP
2004,2004 World Rowing Cup III,"Lucerne, SUI",07:21.240,GER,07:21.980,BLR,07:25.600,CZE,07:26.070,BUL,07:29.470,RUS,07:43.560,SUI
2004,2004 World Rowing Cup II,"Munich, GER",08:03.690,BLR,08:07.150,CZE,08:20.520,NED,08:27.250,SUI,08:37.230,GER,08:41.740,RSA
2004,2004 World Rowing Cup I,"Poznan, POL",07:23.140,GER1,07:25.950,BUL,07:28.250,CZE,07:43.330,GER2,07:44.370,NED,07:47.490,SUI
2003,2003 World Rowing Championships,"Milan, ITA",07:18.120,BUL,07:21.440,GER,07:23.300,BLR,07:27.700,CZE,07:32.640,CHN,07:33.640,RUS
2003,2003 World Rowing Cup III,"Lucerne, SUI",07:14.120,GER1,07:15.290,BLR,07:21.690,RUS,07:23.820,CZE,07:28.820,CHN1,07:42.800,AUS
2003,2003 World Rowing Cup II,"Munich, GER",07:49.890,RUS,07:53.140,ESP,07:57.770,BUL,08:10.170,GBR,08:18.980,BLR,08:07.020,SWE
2003,2003 World Rowing Cup I,"Milan, ITA",07:21.870,GER,07:25.310,BUL,07:26.990,RUS,07:33.350,CZE,07:39.520,GBR2,07:41.390,SUI
2002,2002 World Rowing Championships,"Seville, ESP",07:07.710,BUL,07:11.740,BLR,07:12.070,GER,07:14.320,CHN,07:24.690,ITA,07:27.210,RUS
2002,2002 World Rowing Cup III,"Munich, GER",07:27.160,GER1,07:30.670,CZE,07:31.180,RUS1,07:35.950,CHN,07:40.820,FRA,07:42.930,GBR1
2002,2002 World Rowing Cup II,"Lucerne, SUI",07:26.200,BUL,07:29.990,GER,07:32.370,CZE,07:36.910,RUS,07:38.620,FRA1,07:42.120,ITA1
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",07:32.100,BLR,07:34.600,CZE,07:36.600,RUS,07:39.280,NED,07:42.670,ITA,07:45.590,HUN
2001,2001 World Rowing Championships,"Lucerne, SUI",07:19.250,GER,07:23.280,RUS,07:25.180,BLR,07:29.180,FRA,07:38.350,POL,07:44.820,ITA
2001,2001 World Rowing Cup III,"Vienna, AUT",09:45.640,BLR1,09:55.000,GER1,10:01.000,CUB,10:19.010,GBR,10:27.650,BLR2,10:34.700,BEL
2001,2001 World Rowing Cup II,"Seville, ESP",08:01.670,BLR1,08:10.380,RUS1,08:11.010,RUS2,08:16.740,FRA,08:23.360,BLR2,08:30.390,GBR
2001,2001 World Rowing Cup I,"New Jersey, USA",07:57.120,RUS,08:00.500,GER2,08:02.590,GER1,08:09.500,SWE,08:12.680,SUI,08:23.010,USA
