Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2003,2003 World Rowing Championships,"Milan, ITA",07:14.550,GER,07:17.280,AUS,07:18.240,ROM,07:22.910,USA,07:24.080,CAN,07:30.770,NED
2003,2003 World Rowing Cup III,"Lucerne, SUI",06:53.400,NED,06:54.980,AUS1,06:56.080,CHN,07:00.510,GBR,07:04.800,ROM,07:05.670,DEN
2003,2003 World Rowing Cup II,"Munich, GER",07:16.690,GER,07:18.850,NED,07:23.850,GBR,07:24.440,CHN1,07:28.590,USA1,07:28.970,ESP
2003,2003 World Rowing Cup I,"Milan, ITA",06:52.900,GER1,06:55.960,NED,06:57.340,ROM,06:57.880,CHN,06:59.630,FRA1,07:04.610,GBR
2002,2002 World Rowing Championships,"Seville, ESP",06:52.840,AUS,06:53.560,GER,06:55.280,GBR,06:57.650,POL,06:59.690,NED,07:07.080,DEN
2002,2002 World Rowing Cup III,"Munich, GER",06:57.630,AUS,06:59.780,NED,07:02.220,GBR,07:05.760,DEN,07:09.690,GRE,07:16.090,AUT2
2002,2002 World Rowing Cup II,"Lucerne, SUI",06:59.240,GER,07:02.320,GBR,07:04.120,NED2,07:06.430,NED1,07:08.460,DEN,07:08.910,CAN
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",07:03.060,GER,07:06.960,GBR,07:08.550,DEN,07:10.440,NED,07:15.840,FRA,07:20.770,GRE
2001,2001 World Rowing Championships,"Lucerne, SUI",06:55.550,GER,06:58.020,POL,06:58.970,ROM,07:00.160,CAN,07:06.070,NED,07:09.580,GBR
2001,2001 World Rowing Cup III,"Vienna, AUT",08:51.540,ROM,08:54.220,CUB,08:55.720,GBR,09:00.380,AUT1,09:05.000,USA,09:09.530,HUN
2001,2001 World Rowing Cup II,"Seville, ESP",07:19.450,GER,07:22.480,ROM,07:24.550,NED,07:24.770,AUT,07:26.210,GRE2,07:26.970,GBR
2001,2001 World Rowing Cup I,"New Jersey, USA",07:11.820,USA2,07:14.870,CAN,07:15.890,ROM,07:17.810,DEN,07:23.850,USA1,,
