Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2007,2007 World Rowing Championships,"Munich, GER",07:38.020,NED,07:39.590,USA,07:45.240,CAN,07:50.270,CRO,07:53.250,GBR,07:53.800,FIN
2007,2007 World Rowing Cup III,"Lucerne, SUI",07:46.760,NED,07:49.160,FRA,07:49.280,DEN2,07:52.850,CRO,08:00.880,GER,08:05.410,AUT
2007,2007 World Rowing Cup II,"Amsterdam, NED",07:39.180,NED,07:40.870,AUT,07:43.740,IRL1,07:48.220,DEN2,07:50.900,GER1,08:06.030,GER2
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",07:57.460,CUB1,07:59.050,AUT,08:00.040,GER1,08:01.810,ITA1,08:07.210,IRL,08:08.190,GBR1
2006,2006 World Rowing Championships,"Eton, GBR",07:32.260,NED,07:33.610,GER,07:34.980,ESP,07:36.400,ITA,07:37.990,SUI,07:41.170,USA
2006,2006 World Rowing Cup III,"Lucerne, SUI",07:53.030,NED,07:56.530,SUI2,07:57.890,ITA,08:01.650,ESP1,08:04.600,ESP2,08:06.330,SUI1
2006,2006 World Rowing Cup II,"Poznan, POL",08:15.280,CHN,08:17.350,DEN,08:19.340,SUI,08:19.610,GER,08:23.430,FRA2,08:33.410,AUT
2006,2006 World Rowing Cup I,"Munich, GER",07:54.520,CAN,07:56.110,ESP1,07:57.460,CHN1,08:00.120,CHN3,08:01.220,SUI,08:06.320,GBR1
2005,2005 World Rowing Championships,"Gifu, JPN",08:07.390,NED,08:10.530,FRA,08:12.710,ESP,08:13.610,GBR,08:14.010,GER,08:18.230,CUB
2005,2005 World Rowing Cup III,"Lucerne, SUI",07:50.500,NED,07:52.080,GBR,07:55.440,ESP,07:56.960,SUI1,07:58.070,GRE,08:07.230,CUB
2005,2005 World Rowing Cup II,"Munich, GER",08:35.230,CRO,08:37.050,FRA,08:38.210,CZE,08:38.330,GBR2,08:45.010,SUI,08:47.760,AUT
2005,2005 World Rowing Cup I,"Eton, GBR",08:29.640,CHN,08:29.980,CUB,08:35.330,GER,08:38.040,GBR1,08:38.480,CZE,08:53.800,SUI2
2004,2004 World Rowing Championships,"Banyoles, ESP",07:38.510,GER,07:40.220,GBR,07:40.270,FIN,07:41.240,IRL,07:47.630,BUL,08:01.800,ROM
2004,2004 World Rowing Cup III,"Lucerne, SUI",07:42.790,GER2,07:44.370,GER1,07:47.270,AUS,07:49.900,GBR1,07:51.200,FRA,00:00.000,DEN1
2004,2004 World Rowing Cup II,"Munich, GER",08:34.510,GER3,08:37.170,GER1,08:41.090,CHN,08:46.900,CRO,08:52.950,GER2,08:54.520,GBR
2004,2004 World Rowing Cup I,"Poznan, POL",07:50.840,POL,07:54.030,CHN,07:58.330,FRA,07:58.770,GBR,08:02.370,ROM,08:10.970,AUT
2003,2003 World Rowing Championships,"Milan, ITA",07:52.870,CAN,07:54.490,CRO,07:56.530,GER,08:00.850,ESP,08:06.280,CZE,08:06.700,CHN
2003,2003 World Rowing Cup III,"Lucerne, SUI",07:44.840,CRO,07:47.460,IRL,07:47.800,CZE,07:47.920,ROM,07:51.440,SUI2,07:52.180,SUI4
2003,2003 World Rowing Cup II,"Munich, GER",08:14.820,GER,08:22.920,TUN1,08:25.650,SWE,08:28.960,HUN,00:00.000,CRO,08:12.240,SUI
2003,2003 World Rowing Cup I,"Milan, ITA",07:45.770,GBR1,07:47.920,IRL,07:56.420,ROM,08:00.040,TUN,08:00.880,GBR2,08:04.420,DEN
2002,2002 World Rowing Championships,"Seville, ESP",07:28.890,BUL,07:30.560,USA,07:31.210,ESP,07:34.450,CRO,07:36.220,CZE,07:39.190,NED
2002,2002 World Rowing Cup III,"Munich, GER",07:42.000,CZE,07:43.710,NED2,07:45.640,CRO,07:45.910,SUI2,07:48.600,NED1,07:51.970,ROM
2002,2002 World Rowing Cup II,"Lucerne, SUI",07:47.720,GBR1,07:47.870,CRO,07:50.840,ROM,07:52.260,GER1,08:00.320,CHN,08:07.020,GER2
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",07:54.260,NED1,07:59.220,GBR,08:02.480,CZE,08:07.260,GER,08:08.030,NED2,08:09.090,GRE
2001,2001 World Rowing Championships,"Lucerne, SUI",07:33.200,IRL,07:34.430,NED,07:36.260,SUI,07:37.700,USA,07:42.630,BUL,07:46.020,CRO
2001,2001 World Rowing Cup III,"Vienna, AUT",09:57.400,IRL,09:58.250,ROM,10:17.310,ARG,10:21.240,POL,10:23.390,GER,10:41.400,AUT2
2001,2001 World Rowing Cup II,"Seville, ESP",08:01.530,SUI,08:02.640,NED,08:04.730,IRL,08:08.440,GBR,08:08.500,FIN,08:16.920,CRO
