Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",05:43.100,LTU,05:45.030,GBR,05:45.320,EST,05:45.820,NED,05:48.250,POL,05:48.290,NOR
2017,2017 World Rowing Cup III,"Lucerne, SUI",05:48.720,LTU,05:51.400,GBR,05:53.050,POL,05:53.710,NZL,05:58.530,ITA,05:59.990,NED
2017,2017 World Rowing Cup II,"Poznan, POL",05:36.420,GBR1,05:38.970,NED,05:39.420,NOR,05:40.140,FRA,05:43.050,POL,05:45.070,GER
2017,2017 World Rowing Cup I,"Belgrade, SRB",05:55.730,LTU,05:58.290,POL,05:59.520,GBR1,06:04.260,GBR2,06:10.550,NED,06:16.250,EST
2017,2017 European Rowing Championships,"Racice, CZE",05:44.650,LTU,05:48.020,POL,05:49.130,ITA,05:49.380,GBR,05:49.410,NOR,05:53.190,NED
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",06:06.810,GER,06:07.960,AUS,06:10.650,EST,06:12.090,POL,06:13.080,GBR,06:16.300,UKR
2016,2016 World Rowing Cup III,"Poznan, POL",05:37.200,AUS,05:39.580,GER,05:40.790,POL,05:43.390,SUI,05:45.630,GBR,05:51.150,ITA
2016,2016 World Rowing Cup II,"Lucerne, SUI",05:48.490,AUS,05:51.380,GBR,05:53.180,SUI,05:54.730,POL,05:54.850,GER,05:56.110,LTU
2016,2016 World Rowing Cup I,"Varese, ITA",06:02.180,RUS,06:04.920,CAN,06:08.250,POL,06:10.470,EST,06:14.050,ITA1,06:15.930,NOR
2016,2016 European Rowing Championships,"Brandenburg, GER",06:29.820,EST,06:31.980,LTU,06:32.270,RUS,06:37.970,GER,06:39.270,GBR,06:41.360,UKR
2015,2015 World Rowing Championships,"Aiguebelette, FRA",05:53.220,GER,05:54.750,AUS,05:56.340,EST,05:57.820,GBR,05:58.260,SUI,05:58.650,LTU
2015,2015 World Rowing Cup III,"Lucerne, SUI",05:43.890,GER,05:45.500,NZL,05:46.780,EST,05:48.750,RUS,05:48.760,ITA,05:50.190,AUS
