Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2017,2017 World Rowing Cup II,"Poznan, POL",06:51.400,POL,06:53.010,HUN,06:54.720,SVK,06:56.600,SLO,06:59.820,NOR1,07:10.030,BRA
2017,2017 World Rowing Cup I,"Belgrade, SRB",07:06.270,HUN,07:06.620,SUI1,07:07.270,BEL,07:07.870,POL,07:14.490,SVK,07:17.740,CRO
2017,2017 European Rowing Championships,"Racice, CZE",06:51.720,SUI,06:51.850,HUN,06:51.910,BEL,06:52.530,NOR,06:57.040,POL,07:04.240,ITA
2016,2016 World Rowing Championships,"Rotterdam, NED",07:32.840,IRL,07:36.950,HUN,07:38.890,SVK,07:41.070,SLO,07:48.660,GER,07:49.030,SRB
2016,2016 World Rowing Cup III,"Poznan, POL",06:57.590,ITA,06:59.860,CRO,07:01.710,POL,07:03.070,GER,07:06.220,SLO1,07:10.710,NOR
2016,2016 World Rowing Cup II,"Lucerne, SUI",06:55.870,CRO,06:55.920,SVK,06:56.490,FRA,07:02.360,SLO,07:04.450,SUI,07:19.620,NOR1
2016,2016 World Rowing Cup I,"Varese, ITA",06:55.350,SLO1,06:58.550,CRO,07:00.240,NOR1,07:00.580,SUI1,07:11.420,NOR2,07:21.840,ALG
2016,2016 European Rowing Championships,"Brandenburg, GER",07:33.420,SVK,07:35.540,GER,07:36.720,SLO,07:37.400,GBR,07:46.790,NOR,07:49.730,CRO
2015,2015 World Rowing Championships,"Aiguebelette, FRA",06:53.800,NZL,06:54.590,SLO,06:55.880,SRB,06:57.340,GER,06:58.480,USA,06:58.620,GBR
2015,2015 World Rowing Cup III,"Lucerne, SUI",07:11.600,SVK,07:13.760,SRB,07:16.960,NZL,07:19.500,BEL,07:22.050,FRA,00:00.000,GER1
2015,2015 World Rowing Cup II,"Varese, ITA",06:51.880,FRA1,06:56.640,SVK,06:58.000,GER2,07:00.820,CRO,07:01.830,ITA1,07:02.090,FRA2
2015,2015 World Rowing Cup I,"Bled, SLO",06:59.400,SVK,07:01.270,SLO1,07:03.640,BUL1,07:04.020,CHN,07:12.050,SUI1,07:18.180,CZE
2015,2015 European Rowing Championships,"Poznan, POL",06:54.480,FRA,06:56.360,SVK,06:57.290,SLO,07:02.870,GBR,07:05.080,BUL,07:11.010,UKR
2014,2014 World Rowing Championships,"Amsterdam, NED",06:43.370,ITA,06:46.730,GER,06:50.880,SUI,06:53.280,IRL,06:59.840,AUS,07:07.940,POR
2014,2014 World Rowing Cup III,"Lucerne, SUI",07:14.050,SUI1,07:16.830,FRA1,07:16.880,GER,07:17.130,GRE1,07:19.590,GBR,07:22.560,SLO1
2014,2014 World Rowing Cup II,"Aiguebelette, FRA",06:58.210,CHN,07:02.000,GER1,07:03.210,GER2,07:09.160,FRA2,07:11.440,DEN,07:17.310,BUL
2014,2014 World Rowing Cup I,"Sydney, AUS",07:05.540,CHN,07:13.540,AUS1,07:20.870,AUS2,07:22.750,VIE,07:33.450,HKG2,07:54.720,VAN
