Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2010,2010 World Rowing Cup I,"Bled, SLO",06:06.440,GBR,06:08.180,SRB,06:09.040,CAN,06:10.100,ITA,06:10.180,CZE,06:14.810,POL
2010,2010 European Championships,"Montemor-o-Velho, POR",05:52.540,GER,05:54.080,GRE,05:54.090,CZE,05:56.810,ITA,05:57.300,FRA,05:58.970,SRB
2009,2009 World Rowing Championships,"Poznan, POL",05:47.280,GBR,05:49.200,AUS,05:51.110,SLO,05:52.800,CZE,05:57.030,FRA,05:59.340,BLR
2009,2009 World Rowing Cup III,"Lucerne, SUI",05:57.800,GBR,06:00.190,SLO,06:01.120,USA,06:01.350,GER1,06:05.480,FRA1,06:08.000,GER2
2009,2009 World Rowing Cup II,"Munich, GER",06:05.270,GER2,06:07.130,GER1,06:07.740,GBR1,06:12.080,SLO,06:17.060,CZE,06:25.770,BLR
2009,2009 World Rowing Cup I,"Banyoles, ESP",06:06.540,GBR,06:09.630,CZE,06:10.480,GRE,06:12.550,ESP,06:15.520,FRA1,06:16.400,CRO
2009,2009 European Championships,"Brest, BLR",06:06.840,GRE,06:07.450,CZE,06:09.740,ESP,06:14.090,UKR,06:15.190,ROU,06:15.450,BLR
2008,2008 Olympic Games,"Beijing, CHN",06:06.570,GBR,06:07.850,AUS,06:09.310,FRA,06:11.620,SLO,06:16.560,CZE,06:19.630,GER
2008,2008 World Rowing Cup III,"Poznan, POL",06:11.610,NED,06:13.010,GBR1,06:14.190,SLO,06:16.230,GER,06:16.410,NZL,06:20.710,CZE
2008,2008 World Rowing Cup II,"Lucerne, SUI",05:52.040,AUS,05:53.130,NED,05:53.670,USA,05:54.080,FRA,05:57.090,GER2,05:57.410,NZL
2008,2008 World Rowing Cup I,"Munich, GER",06:29.120,GBR,06:35.820,CZE,06:36.700,GER1,06:37.420,NED,06:42.080,ITA,06:42.730,GER2
2008,2008 European Championships,"Athens, GRE",05:57.240,GRE,06:00.040,ITA,06:02.360,BLR,06:04.920,ESP,06:06.500,POL,06:07.340,UKR
2007,2007 World Rowing Championships,"Munich, GER",05:54.240,NZL,05:55.150,ITA,05:55.490,NED,05:57.000,GBR,05:59.050,SLO,05:59.190,FRA
2007,2007 World Rowing Cup III,"Lucerne, SUI",05:51.480,NED,05:52.050,GBR,05:52.190,NZL,05:57.390,ITA,05:58.720,CZE,05:59.260,GRE
2007,2007 World Rowing Cup II,"Amsterdam, NED",05:52.810,NZL,05:53.170,NED,05:54.000,CZE,05:55.630,FRA,05:57.300,IRL1,06:05.010,SLO
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",05:56.440,GBR1,05:58.300,NED,05:58.850,FRA,06:01.860,CZE,06:02.640,GER1,06:04.240,SLO
2007,2007 European Championships,"Poznan, POL",06:10.380,CZE,06:12.480,GER,06:13.500,GRE,06:21.010,POL,06:23.560,SRB,09:05.510,SLO
2006,2006 World Rowing Championships,"Eton, GBR",05:43.750,GBR,05:44.640,GER,05:45.540,NED,05:47.090,USA,05:49.440,SLO,05:50.010,FRA
2006,2006 World Rowing Cup III,"Lucerne, SUI",05:58.700,GBR1,06:00.190,NED,06:01.880,GER1,06:02.460,SLO,06:02.950,NZL,06:11.030,CZE1
2006,2006 World Rowing Cup II,"Poznan, POL",05:44.920,GBR,05:47.810,SLO,05:51.070,NZL,05:51.930,CZE,05:56.220,IRL1,06:02.520,POL
2006,2006 World Rowing Cup I,"Munich, GER",06:00.250,GBR,06:00.710,GER2,06:00.740,NED,06:07.160,CAN,06:10.170,SLO,06:12.440,GER3
