Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2006,2006 World Rowing Championships,"Eton, GBR",05:49.430,CHN,05:51.260,FRA,05:51.350,IRL,05:53.130,CAN,05:58.020,GBR,05:58.800,AUS
2006,2006 World Rowing Cup III,"Lucerne, SUI",06:07.590,IRL,06:08.760,FRA,06:08.810,GER,06:09.850,EGY,06:14.680,NED,06:16.300,GRE
2006,2006 World Rowing Cup II,"Poznan, POL",05:55.230,IRL,05:56.700,AUS,05:56.800,EGY,05:57.220,GER,05:57.620,GBR,05:59.900,CHN
2006,2006 World Rowing Cup I,"Munich, GER",06:06.880,GER,06:07.350,IRL,06:09.310,AUS,06:10.460,GBR,06:12.820,CHN,06:13.900,ITA1
2005,2005 World Rowing Championships,"Gifu, JPN",05:47.910,FRA,05:49.260,IRL,05:49.300,ITA,05:51.020,AUS,05:51.930,GER,05:58.160,POL
2005,2005 World Rowing Cup III,"Lucerne, SUI",06:01.010,IRL,06:03.820,GER,06:04.870,POL1,06:04.940,RUS,06:05.660,NED,06:08.180,ESP
2005,2005 World Rowing Cup II,"Munich, GER",06:28.480,FRA,06:30.560,GER1,06:30.800,IRL,06:35.260,GER2,06:37.250,GBR,06:38.970,POL2
2005,2005 World Rowing Cup I,"Eton, GBR",06:11.430,FRA,06:17.250,ESP,06:18.180,DEN,06:21.860,NED2,06:23.900,POL,06:27.430,GBR
2004,2004 Olympic Games,"Athens, GRE",06:01.390,DEN,06:02.790,AUS,06:03.740,ITA,06:03.790,NED,06:05.100,CAN,06:09.960,IRL
2004,2004 World Rowing Cup III,"Lucerne, SUI",06:01.830,ITA,06:04.570,CAN,06:04.750,AUS,06:05.440,IRL,06:06.100,NED,06:08.050,ESP
2004,2004 World Rowing Cup II,"Munich, GER",06:19.200,ITA,06:21.360,IRL,06:22.590,CHI,06:23.970,NED,06:24.780,GER,06:27.450,DEN
