Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2007,2007 World Rowing Cup III,"Lucerne, SUI",EST,06:17.630,GBR1,06:19.130,SLO,06:19.970,NZL,06:22.530,FRA,06:26.900,GRE,06:31.330
2007,2007 World Rowing Cup II,"Amsterdam, NED",EST,06:10.660,GBR1,06:11.490,AUS,06:12.110,SLO,06:12.120,NZL,06:19.080,FRA,06:22.590
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",GBR,06:18.550,GER1,06:19.010,EST2,06:19.670,FRA,06:19.790,EST1,06:19.850,AUS,06:19.870
2007,2007 European Championships,"Poznan, POL",GRE,06:28.780,CRO,06:30.250,GER,06:30.700,POL,06:31.520,ITA,06:32.320,RUS,06:35.290
2006,2006 World Rowing Championships,"Eton, GBR",FRA,06:07.600,SLO,06:09.790,GBR,06:10.950,POL,06:12.820,BUL,06:13.780,BEL,06:14.580
2006,2006 World Rowing Cup III,"Lucerne, SUI",SLO,06:19.890,GBR,06:21.620,FRA,06:22.420,GER,06:25.180,HUN,06:31.370,EST,06:36.900
2006,2006 World Rowing Cup II,"Poznan, POL",FRA,06:03.250,SLO,06:04.440,GBR,06:04.570,HUN,06:04.820,GER,06:05.760,UKR1,06:14.930
2006,2006 World Rowing Cup I,"Munich, GER",GER1,06:22.880,HUN,06:23.760,FRA2,06:23.850,GBR,06:24.550,FRA1,06:27.320,POL1,06:35.670
2005,2005 World Rowing Championships,"Gifu, JPN",SLO,06:37.610,ITA,06:37.960,GER,06:46.710,BUL,06:47.780,UKR,06:49.640,BEL,06:56.020
2005,2005 World Rowing Cup III,"Lucerne, SUI",SLO,06:14.250,GER1,06:17.050,ITA1,06:18.620,NOR,06:21.450,UKR,06:22.810,RUS1,06:31.950
2005,2005 World Rowing Cup II,"Munich, GER",GER1,06:50.040,ITA,06:51.330,UKR,06:55.310,HUN,06:55.760,BUL,06:57.310,LTU,07:01.610
2005,2005 World Rowing Cup I,"Eton, GBR",RUS,06:35.270,NOR,06:38.340,ROM,06:40.570,SUI,06:40.690,POL2,06:49.000,CHN,06:57.310
2004,2004 Olympic Games,"Athens, GRE",FRA,06:29.000,SLO,06:31.720,ITA,06:32.930,EST,06:35.300,CZE,06:35.810,USA,06:36.860
2004,2004 World Rowing Cup III,"Lucerne, SUI",ITA,06:21.170,SLO,06:23.080,CZE,06:24.320,FRA,06:26.550,EST1,06:34.730,HUN,06:40.370
2004,2004 World Rowing Cup II,"Munich, GER",ITA,06:39.400,SLO,06:42.350,FRA,06:44.150,CZE,06:46.110,HUN,06:53.860,EST,07:01.360
2004,2004 World Rowing Cup I,"Poznan, POL",GER,06:15.550,EST,06:16.430,GBR,06:17.920,NOR1,06:19.710,POL,06:20.620,HUN,06:21.310
2003,2003 World Rowing Championships,"Milan, ITA",FRA,06:13.930,ITA,06:15.650,CZE,06:16.590,SLO,06:17.830,GBR,06:17.850,AUS,06:25.860
2003,2003 World Rowing Cup III,"Lucerne, SUI",CZE,06:13.790,AUS,06:13.800,FRA,06:14.320,UKR,06:17.950,CUB,06:18.740,GER1,06:30.070
