Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2009,2009 European Championships,"Brest, BLR",07:07.960,ITA,07:08.520,CZE,07:13.420,POL,07:14.880,FIN,07:18.070,BLR,07:22.890,EST
2008,2008 Olympic Games,"Beijing, CHN",07:07.320,NZL,07:07.330,GER,07:07.550,GBR,07:15.850,CHN,07:17.530,USA,07:25.090,CZE
2008,2008 World Rowing Cup III,"Poznan, POL",07:15.620,GBR,07:16.580,ITA,07:17.830,FIN,07:20.390,CZE,07:25.370,CAN,07:35.760,GER
2008,2008 World Rowing Cup II,"Lucerne, SUI",06:56.100,CHN1,06:58.290,GER,06:58.800,CHN2,07:00.110,USA1,07:05.950,GBR,07:06.360,FRA
2008,2008 World Rowing Cup I,"Munich, GER",07:40.660,CHN1,07:45.070,CHN2,07:48.010,GER,07:51.320,CZE,07:55.070,GBR,07:56.710,UKR
2008,2008 European Championships,"Athens, GRE",06:55.950,UKR,06:57.330,POL,06:58.100,ITA,07:07.800,GRE,07:10.560,GBR,07:11.720,BUL
2007,2007 World Rowing Championships,"Munich, GER",06:54.380,CHN,06:57.720,NZL,06:57.740,GBR,06:59.980,ROU,07:02.420,CZE,07:04.730,GER
2007,2007 World Rowing Cup III,"Lucerne, SUI",06:58.450,NZL,07:00.560,GER1,07:01.610,ITA,07:01.620,GBR,07:06.390,USA,07:07.520,GER2
2007,2007 World Rowing Cup II,"Amsterdam, NED",06:51.250,CHN1,06:56.990,NZL,06:58.470,CZE,07:02.990,GER1,07:06.300,FIN,07:11.830,CHN2
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",07:09.420,CHN1,07:13.310,GER1,07:13.440,GER2,07:13.530,USA,07:16.840,ITA,07:30.850,HUN
2007,2007 European Championships,"Poznan, POL",07:12.990,CZE,07:14.680,FIN,07:17.580,BLR,07:19.000,UKR,07:19.690,ITA,07:28.440,DEN
2006,2006 World Rowing Championships,"Eton, GBR",06:47.670,AUS,06:47.950,GER,06:48.820,NZL,06:48.960,GBR,06:49.900,UKR,06:53.590,BLR
